file,col,map,dtype
batting,a,assists,float
batting,ab,atBats,float
batting,ao,flyOuts,float
batting,avg,battingAvg,float
batting,bb,walks,float
batting,bo,battingOrdrePos,float
batting,cs,caughtStealing,float
batting,d,doubles,float
batting,e,errorsByBatter,float
batting,fldg,batterFieldingPct,float
batting,game_id,gameId,str
batting,gidp,groundedIntoDP,float
batting,go,groundOuts,float
batting,h,hits,float
batting,hbp,hitByPitch,float
batting,hr,homeRuns,float
batting,id,playerId,str
batting,lob,teamLeftOnBase,float
batting,name,playerName,str
batting,name_display_first_last,batterNameDisplay,str
batting,note,batterNote,str
batting,obp,obp,float
batting,ops,ops,float
batting,po,teamPO,float
batting,pos,positionId,str
batting,r,teamRuns,float
batting,rbi,teamRBI,float
batting,s_bb,batterSeason_BB,float
batting,s_h,batterSeason_H,float
batting,s_hr,batterSeason_HR,float
batting,s_r,batterSeason_R,float
batting,s_rbi,batterSeason_RBI,float
batting,s_so,batterSeason_SO,float
batting,sac,batterSacBunts,float
batting,sb,batterStolenBases,float
batting,sf,batterSacFlys,float
batting,slg,batterSluggingPct,float
batting,so,strikeOuts,float
batting,t,batterTriples,float
batting,team_ab,batterTeam_AB,float
batting,team_avg,batterTEAM_AVG,float
batting,team_bb,batterTeam_BB,float
batting,team_d,batterTeam_D,float
batting,team_da,batterTeam_DA,float
batting,team_h,batterTeam_H,float
batting,team_hr,batterTeam_HR,float
batting,team_lob,batterTeam_LOB,float
batting,team_obp,batterTeam_OBP,float
batting,team_ops,batterTeam_OPS,float
batting,team_po,batterTeam_PO,float
batting,team_r,batterTeam_R,float
batting,team_rbi,batterTeam_RBI,float
batting,team_slg,batterTeam_SIG,float
batting,team_so,batterTeam_SO,float
batting,team_t,batterTeam_T,float
batting,team_team_flag,batterTeamFlag,str
