Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,OpenOU,,CloseOU,
320,901,N,SEA,MGONZALES-L,0,0,5,1,3,0,0,0,0,9,107,120,+1.5(-160),8.5,-110,8.5,-120
320,902,N,OAK,MFIERS-R,1,1,2,0,0,0,3,0,0,7,-127,-130,-1.5(+140),8.5,-110,8.5,100
321,903,N,SEA,YKIKUCHI-L,0,2,1,0,0,0,1,0,0,5,109,-125,+1.5(-262),9,-110,9,-130
321,904,N,OAK,MESTRADA-R,0,0,0,0,2,0,2,0,0,4,-129,115,-1.5(+216),9,-110,9,110
328,905,V,NYM,JDEGROM-R,1,0,0,0,0,0,0,1,0,2,110,115,+1.5(-215),6.5,-110,6.5,-105
328,906,H,WAS,MSCHERZER-R,0,0,0,0,0,0,0,0,0,0,-121,-125,-1.5(+180),6.5,-110,6.5,-115
328,907,V,STL,MMIKOLAS-R,0,3,0,0,0,0,1,0,0,4,104,104,+1.5(-205),8.5,-110,8.5,-120
328,908,H,MIL,JCHACIN-R,0,1,3,0,1,0,0,0,x,5,-114,-114,-1.5(+172),8.5,-110,8.5,100
328,909,V,ATL,JTEHERAN-R,0,1,0,0,0,0,2,1,0,4,170,170,+1.5(-130),7.5,-110,8,-105
328,910,H,PHI,ANOLA-R,1,0,0,2,0,3,4,0,x,10,-190,-185,-1.5(+110),7.5,-110,8,-115
328,911,V,PIT,JTAILLON-R,0,0,0,0,0,2,0,1,0,3,105,107,+1.5(-215),8,-110,8.5,-105
328,912,H,CIN,LCASTILLO-R,0,1,0,0,0,0,4,0,x,5,-115,-117,-1.5(+180),8,-110,8.5,-115
328,913,V,ARI,ZGREINKE-R,0,0,0,0,0,1,1,0,3,5,144,155,+1.5(-145),7.5,-110,7,-120
328,914,H,LAD,HRYU-L,1,2,0,4,0,2,3,0,x,12,-160,-165,-1.5(+125),7.5,-110,7,100
328,915,V,SFO,MBUMGARNER-L,0,0,0,0,0,0,0,0,0,0,-114,117,+1.5(-190),8,-110,7.5,-105
328,916,H,SDG,ELAUER-L,0,0,1,0,0,1,0,0,x,2,104,-127,-1.5(+162),8,-110,7.5,-115
328,917,V,COL,KFREELAND-L,0,0,0,4,2,0,0,0,0,6,-145,-135,-1.5(+120),7.5,-110,7.5,-105
328,918,H,MIA,JURENA-R,0,0,0,0,0,1,0,1,1,3,131,125,+1.5(-140),7.5,-110,7.5,-115
328,919,V,BAL,ACASHNER-R,0,0,0,1,0,1,0,0,0,2,296,320,+1.5(+161),9,-110,9,110
328,920,H,NYY,MTANAKA-R,3,0,1,0,2,0,0,1,x,7,-340,-380,-1.5(-188),9,-110,9,-130
